city,state,latitude,longitude
ROCK HILL,SC,34.924,-81.0267
ORANGEBURG,SC,33.4894,-80.8647
MYRTLE BEACH,SC,33.6936,-78.8827
GREENWOOD,SC,34.191,-82.1607
GREENVILLE,SC,34.8483,-82.4001
FLORENCE,SC,34.1936,-79.7691
DENMARK,SC,33.3228,-81.1426
DARLINGTON,SC,34.3025,-79.8716
COLUMBIA,SC,33.9988,-81.0454
CHESTER,SC,34.7051,-81.2138
CHARLESTON,SC,32.7812,-79.9316
BARNWELL,SC,33.244,-81.3657
ANDERSON,SC,34.5004,-82.6496
ALLENDALE,SC,33.0079,-81.3086
AIKEN,SC,33.5616,-81.7221
PROVIDENCE,RI,41.8239,-71.412
NEWPORT,RI,41.4922,-71.3112
KINGSTON,RI,41.48,-71.5212
CRANSTON,RI,41.7788,-71.4352
YORK,PA,39.9645,-76.7243
YARDLEY,PA,40.2423,-74.8388
VILLANOVA,PA,40.0318,-75.349
VALLEY FORGE,PA,40.0997,-75.4568
UNIVERSITY PARK,PA,40.7997,-77.8605
UNIONTOWN,PA,39.9021,-79.7242
THORNTON,PA,39.9075,-75.5314
SWARTHMORE,PA,39.9009,-75.3479
SUNBURY,PA,40.8628,-76.7962
STATE COLLEGE,PA,40.7937,-77.8607
SHIPPINGPORT,PA,40.6298,-80.4189
SCRANTON,PA,41.4102,-75.6608
READING,PA,40.3366,-75.9278
POTTSTOWN,PA,40.2465,-75.6481
POINT PLEASANT,PA,40.4216,-75.0656
PITTSBURGH,PA,40.4385,-79.9973
PHILADELPHIA,PA,39.9522,-75.1622
PAOLI,PA,40.042,-75.4838
OXFORD,PA,39.7845,-75.977
NORRISTOWN,PA,40.1145,-75.3393
NEW GENEVA,PA,39.7878,-79.9113
NEW CASTLE,PA,41.0018,-80.3472
MORGANTOWN,PA,40.1552,-75.8905
MIDDLETOWN,PA,40.1953,-76.7324
MEDIA,PA,39.918,-75.3898
MEADVILLE,PA,41.6365,-80.1514
MCKEESPORT,PA,40.3515,-79.8654
LATROBE,PA,40.3166,-79.3849
LANCASTER,PA,40.0381,-76.3013
KUTZTOWN,PA,40.5185,-75.7765
KING OF PRUSSIA,PA,40.0909,-75.3847
KENNETT SQUARE,PA,39.8464,-75.7116
HERSHEY,PA,40.2854,-76.6509
HEGINS,PA,40.6514,-76.4997
HARRISBURG,PA,40.2599,-76.8822
FOLCROFT,PA,39.8997,-75.2789
FARRELL,PA,41.217,-80.5073
ERIE,PA,42.1298,-80.0855
DUQUESNE,PA,40.3731,-79.847
DOYLESTOWN,PA,40.31,-75.1317
CLAIRTON,PA,40.2965,-79.8939
CHESTER,PA,39.8484,-75.3594
CENTRALIA,PA,40.8042,-76.3412
BRYN MAWR,PA,40.0314,-75.3154
BRIDGEPORT,PA,40.1054,-75.3446
BETHLEHEM,PA,40.631,-75.3778
ALLISON PARK,PA,40.5613,-79.9593
SEASIDE,OR,45.9931,-123.9218
SALEM,OR,44.9333,-123.0438
RAINIER,OR,46.0892,-122.9363
PORTLAND,OR,45.5118,-122.6756
NEWPORT,OR,44.6323,-124.0576
GRANTS PASS,OR,42.4432,-123.3246
EUGENE,OR,44.0499,-123.0885
COOS BAY,OR,43.368,-124.2196
SHAWNEE,OK,35.332,-96.9248
PAWNEE,OK,36.3379,-96.8063
OKLAHOMA CITY,OK,35.472,-97.5211
NORMAN,OK,35.2208,-97.4466
MCALESTER,OK,34.934,-95.7696
LAWTON,OK,34.6052,-98.3899
INOLA,OK,36.1518,-95.5099
CARNEGIE,OK,35.1056,-98.6033
YOUNGSTOWN,OH,41.0981,-80.6508
YELLOW SPRINGS,OH,39.8032,-83.8906
XENIA,OH,39.6851,-83.9282
WILBERFORCE,OH,39.7122,-83.887
WARREN,OH,41.2362,-80.8124
TOLEDO,OH,41.6538,-83.5363
RAVENNA,OH,41.1577,-81.2444
PORTSMOUTH,OH,38.7443,-82.9932
PARMA,OH,41.3841,-81.7347
OXFORD,OH,39.5105,-84.7427
OBERLIN,OH,41.2935,-82.2173
NORTH PERRY,OH,41.8086,-81.1292
MIDDLETOWN,OH,39.5115,-84.4029
MEDINA,OH,41.1403,-81.864
MARTIN'S FERRY,OH,40.0962,-80.7234
LONDON,OH,39.886,-83.4481
LEBANON,OH,39.4334,-84.2097
KENTON,OH,40.6478,-83.608
KENT,OH,41.1509,-81.3582
DAYTON,OH,39.7592,-84.1938
COSHOCTON,OH,40.2723,-81.8667
COLUMBUS,OH,39.962,-83.0027
CLEVELAND,OH,41.5047,-81.6907
CINCINNATI,OH,39.1071,-84.5041
CANTON,OH,40.7978,-81.3716
BOWLING GREEN,OH,41.3755,-83.6505
ATHENS,OH,39.3285,-82.1044
AKRON,OH,41.0842,-81.514
YORKVILLE,NY,43.1146,-75.2816
YONKERS,NY,40.933,-73.8987
YAPHANK,NY,40.8422,-72.9342
WOODSTOCK,NY,42.0419,-74.1183
WOODHAVEN,NY,40.6926,-73.861
WHITE PLAINS,NY,41.0338,-73.7634
WEST VALLEY,NY,42.4053,-78.6123
WATERTOWN,NY,43.9759,-75.9143
WASHINGTON,NY,41.7922,-73.6604
VALLEY STREAM,NY,40.6642,-73.7085
VALHALLA,NY,41.0736,-73.7726
UTICA,NY,43.0959,-75.2426
TUXEDO,NY,41.1918,-74.186
TROY,NY,42.7345,-73.6881
TRENTON,NY,43.2712,-75.1596
TAYLOR,NY,42.5682,-75.8882
TARRYTOWN,NY,41.0801,-73.8587
SYRACUSE,NY,43.0503,-76.1474
SYOSSET,NY,40.8275,-73.4954
SUFFERN,NY,41.1149,-74.1497
STORMVILLE,NY,41.5708,-73.7466
STONY BROOK,NY,40.9128,-73.1399
STATEN ISLAND,NY,40.6424,-74.0753
STAMFORD,NY,42.4085,-74.6173
SPRING VALLEY,NY,41.121,-74.0427
SOUTH DAYTON,NY,42.3614,-79.0505
SMITHTOWN,NY,40.8472,-73.2346
SHOREHAM,NY,40.9612,-72.9093
SENECA,NY,42.8042,-77.0533
SCHENECTADY,NY,42.8123,-73.941
SCARSDALE,NY,40.9882,-73.7968
SARATOGA SPRINGS,NY,43.0839,-73.7845
SALAMANCA,NY,42.1539,-78.7091
SAG HARBOR,NY,41.0011,-72.2953
RYE,NY,40.9812,-73.6838
ROSEDALE,NY,40.6594,-73.74
ROSCOE,NY,41.9336,-74.9139
ROMULUS,NY,42.7522,-76.8329
ROME,NY,43.2152,-75.4534
RODMAN,NY,43.8493,-75.9409
ROCHESTER,NY,43.1558,-77.6163
RIVERHEAD,NY,40.9504,-72.6602
RIDGE,NY,40.8945,-72.8929
QUEENS,NY,40.714,-73.83
PURCHASE,NY,41.0369,-73.713
POUGHKEEPSIE,NY,41.7067,-73.9294
PORT CHESTER,NY,41.0011,-73.6662
PLATTSBURGH,NY,44.6991,-73.453
PINE CITY,NY,42.0399,-76.8769
PEEKSKILL,NY,41.2912,-73.9221
PATTERSON,NY,41.5135,-73.605
PALISADES,NY,41.0123,-73.9146
OSSINING,NY,41.1635,-73.8607
ORANGE,NY,42.3056,-77.0487
ONEONTA,NY,42.4553,-75.0603
OCEAN BEACH,NY,40.6494,-73.1569
NORTH BABYLON,NY,40.7401,-73.3211
NIAGARA FALLS,NY,43.0955,-79.0558
NEWBURGH,NY,41.4999,-74.0102
NEWARK,NY,43.0463,-77.0952
NEW YORK,NY,40.7146,-74.0071
New York,NY,40.7146,-74.0071
NEW ROCHELLE,NY,40.9201,-73.7869
NEW PALTZ,NY,41.7461,-74.0785
NEW HAVEN,NY,43.4795,-76.3145
NEW CITY,NY,41.1483,-74.0098
NANUET,NY,41.0974,-74.0138
MUTTONTOWN,NY,40.8325,-73.5278
MOUNT VERNON,NY,40.9125,-73.8383
MORRISTOWN,NY,44.587,-75.6401
MINEOLA,NY,40.7488,-73.6423
MIDDLETOWN,NY,41.4456,-74.4225
MATTITUCK,NY,40.9919,-72.5326
MASTIC BEACH,NY,40.7625,-72.8568
MASSENA,NY,44.9313,-74.8928
MANHATTAN,NY,40.7144,-74.0061
MANHASSET,NY,40.7982,-73.6982
MAMARONECK,NY,40.9489,-73.7357
MALVERNE,NY,40.676,-73.6671
MAHOPAC,NY,41.3672,-73.7403
LONG BEACH,NY,40.5894,-73.6661
LOCKPORT,NY,43.1692,-78.6954
LINDENHURST,NY,40.6818,-73.3675
LEVITTOWN,NY,40.726,-73.5141
LARCHMONT,NY,40.9276,-73.7514
KIRYAS JOEL,NY,41.3406,-74.1699
KINGSTON,NY,41.927,-73.9974
JACKSON HEIGHTS,NY,40.7494,-73.8876
ITHACA,NY,42.4405,-76.4955
HYDE PARK,NY,41.7915,-73.9355
HUNTINGTON STATION,NY,40.8364,-73.3949
HOGANSBURG,NY,44.9779,-74.6804
HILLBURN,NY,41.1245,-74.1694
HEMPSTEAD,NY,40.7101,-73.622
HAUPPAUGE,NY,40.8252,-73.2035
HARTSDALE,NY,41.0126,-73.7962
HARRISON,NY,40.9701,-73.7122
HANOVER,NY,42.4922,-79.1504
HAMILTON,NY,42.8271,-75.5438
GREENWICH,NY,43.0874,-73.4964
GREENVALE,NY,40.8145,-73.6266
GREENBURGH,NY,41.0406,-73.7879
GOUVERNEUR,NY,44.3357,-75.4672
GOSHEN,NY,41.4068,-74.3166
GLEN COVE,NY,40.864,-73.6312
GENEVA,NY,42.8664,-76.9821
GENESEO,NY,42.7934,-77.8162
GARDEN CITY,NY,40.7265,-73.6351
FREEPORT,NY,40.6585,-73.5872
FREEHOLD,NY,42.3769,-74.0557
FORT COVINGTON,NY,44.9883,-74.4938
FOREST HILLS,NY,40.7227,-73.8479
FLUSHING,NY,40.7636,-73.83
ELMONT,NY,40.7075,-73.7044
ELMIRA,NY,42.0904,-76.7988
EAST PATCHOGUE,NY,40.7743,-72.9969
EAST MEADOW,NY,40.7136,-73.5444
EAGLE BAY,NY,43.7688,-74.8165
DOBBS FERRY,NY,41.0154,-73.8746
CROTON-ON-HUDSON,NY,41.2072,-73.8883
COXSACKIE,NY,42.3481,-73.8002
COPAKE,NY,42.104,-73.5525
COMSTOCK,NY,43.4608,-73.3971
CLINTON,NY,43.0483,-75.3788
CHELSEA,NY,41.5522,-73.9673
CHAPPAQUA,NY,41.1574,-73.7731
CATSKILL,NY,42.2177,-73.8642
BUFFALO,NY,42.8854,-78.8785
BUCHANAN,NY,41.261,-73.9394
BROOKLYN,NY,40.6925,-73.9904
BRONXVILLE,NY,40.9361,-73.8312
BRONX,NY,40.826,-73.9231
BINGHAMTON,NY,42.0987,-75.9114
BENSONHURST,NY,40.6019,-73.9939
BELMONT,NY,42.2232,-78.0339
BELLPORT,NY,40.7559,-72.9378
BABYLON,NY,40.6957,-73.326
AUBURN,NY,42.9294,-76.5659
ATTICA,NY,42.864,-78.281
ANDOVER,NY,42.1603,-77.7931
AMHERST,NY,43.0189,-78.7828
ALBANY,NY,42.6516,-73.7552
RENO,NV,39.5276,-119.8135
LAS VEGAS,NV,36.1719,-115.14
CARSON CITY,NV,39.1649,-119.767
WHITE SANDS,NM,32.384,-106.4909
SANTA FE,NM,35.6917,-105.938
MORA,NM,35.9742,-105.3298
LOVING,NM,32.287,-104.101
GRANTS,NM,35.1506,-107.8499
DEMING,NM,32.2681,-107.7587
CHURCH ROCK,NM,35.5321,-108.6013
CARLSBAD,NM,32.4186,-104.229
ALBUQUERQUE,NM,35.0842,-106.6491
WRIGHTSTOWN,NJ,40.0362,-74.6241
WOODBURY,NJ,39.8387,-75.1544
WOODBRIDGE,NJ,40.5545,-74.2785
WILLINGBORO,NJ,40.0306,-74.8953
WESTFIELD,NJ,40.6544,-74.3454
WAYNE,NJ,40.9315,-74.2279
WANAQUE,NJ,41.051,-74.289
VINELAND,NJ,39.4862,-75.0261
VERNON,NJ,41.1981,-74.4834
UNION CITY,NJ,40.7739,-74.0247
UNION,NJ,40.6963,-74.2695
TRENTON,NJ,40.2179,-74.7594
TOMS RIVER,NJ,39.9531,-74.1937
TEANECK,NJ,40.8869,-74.0195
SURF CITY,NJ,39.6602,-74.1673
STRATFORD,NJ,39.833,-75.0066
SOUTH ORANGE,NJ,40.7473,-74.2583
SALEM,NJ,39.5689,-75.4704
RUTHERFORD,NJ,40.8256,-74.1087
RIVERSIDE,NJ,40.0378,-74.9605
RAHWAY,NJ,40.6043,-74.2744
PRINCETON,NJ,40.3608,-74.6645
PLAINFIELD,NJ,40.6178,-74.4175
PISCATAWAY,NJ,40.5386,-74.4718
PEQUANNOCK,NJ,40.9499,-74.2924
PENNSAUKEN,NJ,39.9578,-75.0667
PATERSON,NJ,40.9166,-74.1716
PASSAIC,NJ,40.8603,-74.1237
PARSIPPANY,NJ,40.873,-74.4304
PARK RIDGE,NJ,41.0337,-74.0389
ORANGE,NJ,40.7732,-74.2324
OLD BRIDGE,NJ,40.403,-74.2968
OCEAN GROVE,NJ,40.2124,-74.0081
NORTH BERGEN,NJ,40.793,-74.0204
NEWARK,NJ,40.732,-74.1742
NEW LISBON,NJ,39.959,-74.6285
NEW BRUNSWICK,NJ,40.4948,-74.4438
MOUNTAIN LAKES,NJ,40.887,-74.4509
MORRISTOWN,NJ,40.7935,-74.4777
MOORESTOWN,NJ,39.9669,-74.943
MONTCLAIR,NJ,40.8124,-74.2128
MIDDLETOWN,NJ,40.4053,-74.1276
MAYS LANDING,NJ,39.452,-74.7271
MARLTON,NJ,39.8923,-74.919
MAPLEWOOD,NJ,40.7312,-74.2769
MADISON,NJ,40.7573,-74.4161
LYNDHURST,NJ,40.8121,-74.1247
LITTLE FERRY,NJ,40.8507,-74.0438
LINDEN,NJ,40.632,-74.2552
LEONIA,NJ,40.8611,-73.9884
LAFAYETTE,NJ,41.1033,-74.6944
KEARNY,NJ,40.7646,-74.1483
JERSEY CITY,NJ,40.7175,-74.0439
JACKSON,NJ,40.1306,-74.2737
HOBOKEN,NJ,40.7372,-74.031
HARRISON,NJ,40.7463,-74.1577
HACKENSACK,NJ,40.8861,-74.0445
GLEN RIDGE,NJ,40.7999,-74.2048
FREEHOLD,NJ,40.2587,-74.2762
FRANKLIN,NJ,41.1168,-74.5916
FORT LEE,NJ,40.8534,-73.9743
FORT DIX,NJ,40.0217,-74.6291
FORKED RIVER,NJ,39.8467,-74.1863
FLEMINGTON,NJ,40.5103,-74.861
FAIR LAWN,NJ,40.9361,-74.1319
ENGLEWOOD,NJ,40.8953,-73.9746
ELIZABETH,NJ,40.6638,-74.2114
EDISON,NJ,40.5303,-74.3815
CRANFORD,NJ,40.656,-74.3063
COLTS NECK,NJ,40.2881,-74.176
CLIFTON,NJ,40.8658,-74.1598
CLARK,NJ,40.6283,-74.3145
CHERRY HILL,NJ,39.9279,-75.0305
CAPE MAY,NJ,38.9355,-74.9214
CAMDEN,NJ,39.9453,-75.1191
CALDWELL,NJ,40.8414,-74.2766
BURLINGTON,NJ,40.0762,-74.8575
BLOOMFIELD,NJ,40.7919,-74.1958
BERNARDSVILLE,NJ,40.7156,-74.5747
BELVIDERE,NJ,40.8257,-75.079
BELMAR,NJ,40.1829,-74.0243
BAYONNE,NJ,40.6687,-74.1175
BARNEGAT,NJ,39.754,-74.2228
ATLANTIC CITY,NJ,39.3629,-74.4264
ABSECON,NJ,39.4327,-74.5074
SEABROOK,NH,42.8757,-70.8719
PORTSMOUTH,NH,43.0706,-70.7721
MANCHESTER,NH,42.9912,-71.4631
LEBANON,NH,43.6448,-72.2539
HANOVER,NH,43.7005,-72.2895
EXETER,NH,42.9803,-70.9476
CORNISH,NH,43.4644,-72.3352
CONCORD,NH,43.2073,-71.5366
OMAHA,NE,41.2607,-95.9406
LOUISVILLE,NE,40.9987,-96.162
LINCOLN,NE,40.8136,-96.7073
GORDON,NE,42.8142,-102.2032
DAKOTA CITY,NE,42.4152,-96.4194
JAMESTOWN,ND,46.9101,-98.7085
FARGO,ND,46.8759,-96.7818
WINSTON-SALEM,NC,36.1,-80.2412
WINDSOR,NC,35.9936,-76.9425
WILSON,NC,35.722,-77.9164
WILMINGTON,NC,34.235,-77.946
WILLIAMSTON,NC,35.8542,-77.0565
WARRENTON,NC,36.3994,-78.1549
WADESBORO,NC,34.9658,-80.0769
SANFORD,NC,35.4662,-79.1593
SALISBURY,NC,35.6671,-80.4696
ROCKY MOUNT,NC,35.9488,-77.795
RALEIGH,NC,35.7855,-78.6427
PEMBROKE,NC,34.6793,-79.193
NEW BERN,NC,35.1085,-77.0421
MONROE,NC,34.9826,-80.5489
LUMBERTON,NC,34.6189,-79.0139
JACKSONVILLE,NC,34.7493,-77.4211
HIGH POINT,NC,35.9554,-80.0052
HERTFORD,NC,36.1893,-76.4657
HENDERSON,NC,36.3299,-78.3987
HAMLET,NC,34.8934,-79.7009
GREENVILLE,NC,35.6072,-77.3802
GREENSBORO,NC,36.069,-79.7947
GOLDSBORO,NC,35.386,-77.9968
FAYETTEVILLE,NC,35.0553,-78.8773
ENFIELD,NC,36.181,-77.6628
ELIZABETH CITY,NC,36.3015,-76.2198
DURHAM,NC,35.9954,-78.8964
DUNN,NC,35.3067,-78.6087
CONCORD,NC,35.41,-80.5807
CHINA GROVE,NC,35.5719,-80.5799
CHARLOTTE,NC,35.2229,-80.838
CHAPEL HILL,NC,35.9149,-79.0568
BURGAW,NC,34.5512,-77.9252
AYDEN,NC,35.4711,-77.4182
ASHEVILLE,NC,35.5984,-82.5531
ASHEBORO,NC,35.7088,-79.8134
WEST YELLOWSTONE,MT,44.6622,-111.1011
MISSOULA,MT,46.8728,-113.9963
HELENA,MT,46.5898,-112.0212
HARDIN,MT,45.7319,-107.606
CROW AGENCY,MT,45.6016,-107.461
COLSTRIP,MT,45.8829,-106.6278
BUTTE,MT,46.0018,-112.5209
WOODVILLE,MS,31.1041,-91.2978
WINONA,MS,33.4842,-89.7358
TUPELO,MS,34.2574,-88.7078
SUMMIT,MS,31.2872,-90.4681
STARKVILLE,MS,33.4659,-88.8129
SHUBUTA,MS,31.8609,-88.6999
SHAW,MS,33.603,-90.7739
SENATOBIA,MS,34.6193,-89.9611
RULEVILLE,MS,33.7313,-90.5468
RIPLEY,MS,34.7296,-88.9479
POPLARVILLE,MS,30.844,-89.5356
PHILADELPHIA,MS,32.7716,-89.1177
PETAL,MS,31.3467,-89.2631
PASCAGOULA,MS,30.3656,-88.5565
OXFORD,MS,34.364,-89.5189
OKOLONA,MS,34.0017,-88.7542
NATCHEZ,MS,31.5592,-91.3982
MERIDIAN,MS,32.3651,-88.7031
MCCOMB,MS,31.2457,-90.4541
MAGNOLIA,MS,31.1443,-90.4611
LORMAN,MS,31.8194,-91.0506
LEXINGTON,MS,33.1146,-90.0528
LELAND,MS,33.4041,-90.8988
LAUREL,MS,31.6968,-89.1352
JACKSON,MS,32.2987,-90.1805
INDIANOLA,MS,33.4508,-90.6449
HOLLY SPRINGS,MS,34.769,-89.4486
HERNANDO,MS,34.8235,-89.9973
HATTIESBURG,MS,31.3274,-89.2907
GRENADA,MS,33.784,-89.81
GREENWOOD,MS,33.5171,-90.1804
GREENVILLE,MS,33.399,-91.0378
FAYETTE,MS,31.7108,-91.0617
DREW,MS,33.8121,-90.5244
COLDWATER,MS,34.688,-89.9784
CLEVELAND,MS,33.7474,-90.717
CLARKSDALE,MS,34.1946,-90.5649
CANTON,MS,32.6126,-90.0348
BILOXI,MS,30.3944,-88.8964
SIKESTON,MO,36.8765,-89.5883
SAINT LOUIS,MO,38.6278,-90.1996
NEW MADRID,MO,36.5959,-89.5284
KANSAS CITY,MO,39.1035,-94.5831
JOPLIN,MO,37.0848,-94.5135
FLORISSANT,MO,38.7917,-90.3234
COLUMBIA,MO,38.9522,-92.3342
WINONA,MN,44.0514,-91.6385
SANDSTONE,MN,46.131,-92.867
SAINT PAUL,MN,44.9434,-93.0965
SAINT CLOUD,MN,45.5659,-94.1975
PLYMOUTH,MN,45.0188,-93.4758
NORTHFIELD,MN,44.4496,-93.1538
MINNEAPOLIS,MN,44.979,-93.2649
LOWRY,MN,45.7048,-95.5173
ELY,MN,47.9032,-91.8632
ELMORE,MN,43.5091,-94.0881
AUSTIN,MN,43.6666,-92.973
WARREN,MI,42.5111,-83.0285
WALLED LAKE,MI,42.5389,-83.4727
STERLING HEIGHTS,MI,42.5934,-83.0136
SOUTHFIELD,MI,42.4831,-83.2411
SAGINAW,MI,43.4194,-83.9465
ROCHESTER,MI,42.6834,-83.137
RIVES JUNCTION,MI,42.386,-84.462
PONTIAC,MI,42.6369,-83.2884
OAK PARK,MI,42.4659,-83.1827
MUSKEGON,MI,43.2343,-86.2448
MOUNT CLEMENS,MI,42.5966,-82.8774
MIO,MI,44.6519,-84.13
MIDLAND,MI,43.6171,-84.2451
MARQUETTE,MI,46.5458,-87.4137
LELAND,MI,45.0234,-85.7599
LANSING,MI,42.7319,-84.5523
JACKSON,MI,42.2448,-84.4005
HOUGHTON,MI,47.1219,-88.57
HILLSDALE,MI,41.9229,-84.6318
GWINN,MI,46.2817,-87.4417
GREENVILLE,MI,43.178,-85.2532
GRAND RAPIDS,MI,42.9664,-85.6712
FLINT,MI,43.0114,-83.6868
EAST LANSING,MI,42.7375,-84.4838
DETROIT,MI,42.3317,-83.048
DEARBORN,MI,42.3221,-83.1763
CHARLEVOIX,MI,45.3165,-85.2607
BENTON HARBOR,MI,42.1155,-86.4575
BATTLE CREEK,MI,42.3164,-85.1801
ANN ARBOR,MI,42.2821,-83.7485
ALPENA,MI,45.0616,-83.4452
WISCASSET,ME,44.0029,-69.6662
WATERVILLE,ME,44.5528,-69.6313
RUMFORD,ME,44.5455,-70.5457
PORTLAND,ME,43.6592,-70.2567
ORONO,ME,44.8859,-68.674
LEE,ME,45.3592,-68.2827
KITTERY,ME,43.0908,-70.7369
KENNEBUNKPORT,ME,43.3632,-70.4772
GEORGETOWN,ME,43.8052,-69.7564
CALAIS,ME,45.1885,-67.2754
BANGOR,ME,44.8017,-68.7708
AUGUSTA,ME,44.318,-69.7762
AUBURN,ME,44.0978,-70.2293
TOWSON,MD,39.3999,-76.6054
SALISBURY,MD,38.3657,-75.5953
ROCKVILLE,MD,39.0817,-77.1512
RISING SUN,MD,39.698,-76.0635
PRINCESS ANNE,MD,38.2098,-75.6949
MANCHESTER,MD,39.662,-76.8836
